"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU"
"1","Kachin","Myitkyina","AREA # 010151","Hsinbo(ST)","MMR001001","Myitkyina"
"2","Kachin","Myitkyina","AREA # 010101","Myitkyina","MMR001001","Myitkyina"
"3","Kachin","Myitkyina","AREA # 010152","Hsadone(ST)","MMR001002","Waingmaw"
"4","Kachin","Myitkyina","AREA # 010153","Kanpaikti(ST)","MMR001002","Waingmaw"
"5","Kachin","Myitkyina","AREA # 010102","Waingmaw","MMR001002","Waingmaw"
"6","Kachin","Myitkyina","AREA # 010103","Ingyanyan","MMR001003","Injangyang"
"7","Kachin","Myitkyina","AREA # 010154","Shinbwayyan(ST)","MMR001004","Tanai"
"8","Kachin","Myitkyina","AREA # 010104","Tanaing","MMR001004","Tanai"
"9","Kachin","Myitkyina","AREA # 010105","Chiphwe","MMR001005","Chipwi"
"10","Kachin","Myitkyina","AREA # 010155","Panwa(ST)","MMR001005","Chipwi"
"11","Kachin","Myitkyina","AREA # 010106","Hsotlaw","MMR001006","Tsawlaw"
"12","Kachin","Mohnyin","AREA # 010251","Hopin(ST)","MMR001007","Mohnyin"
"13","Kachin","Mohnyin","AREA # 010201","Mohnyin","MMR001007","Mohnyin"
"14","Kachin","Mohnyin","AREA # 010202","Mogaung","MMR001008","Mogaung"
"15","Kachin","Mohnyin","AREA # 010203","Phakant","MMR001009","Hpakant"
"16","Kachin","Mohnyin","AREA # 010252","Kamine(ST)","MMR001009","Hpakant"
"17","Kachin","Bhamo","AREA # 010301","Bhamo","MMR001010","Bhamo"
"18","Kachin","Bhamo","AREA # 010351","Myohla(ST)","MMR001011","Shwegu"
"19","Kachin","Bhamo","AREA # 010302","Shwegu","MMR001011","Shwegu"
"20","Kachin","Bhamo","AREA # 010352","Lwe`ge`(ST)","MMR001012","Momauk"
"21","Kachin","Bhamo","AREA # 010353","Dotphoneyan(ST)","MMR001012","Momauk"
"22","Kachin","Bhamo","AREA # 010303","Momauk","MMR001012","Momauk"
"23","Kachin","Bhamo","AREA # 010304","Mansi","MMR001013","Mansi"
"24","Kachin","Putao","AREA # 010401","Putao","MMR001014","Puta-O"
"25","Kachin","Putao","AREA # 010402","Sumprabum","MMR001015","Sumprabum"
"26","Kachin","Putao","AREA # 010403","Machanbaw","MMR001016","Machanbaw"
"27","Kachin","Putao","AREA # 010451","Pannandin(ST)","MMR001017","Nawngmun"
"28","Kachin","Putao","AREA # 010405","Naungmoon","MMR001017","Nawngmun"
"29","Kachin","Putao","AREA # 010404","Khaunglanphoo","MMR001018","Khaunglanhpu"
"30","Kayah","Loikaw","AREA # 020101","Loikaw","MMR002001","Loikaw"
"31","Kayah","Loikaw","AREA # 020102","Dimawso","MMR002002","Demoso"
"32","Kayah","Loikaw","AREA # 020103","Phruso","MMR002003","Hpruso"
"33","Kayah","Loikaw","AREA # 020104","Shardaw","MMR002004","Shadaw"
"34","Kayah","Bawlakhe","AREA # 020201","Bawlakhe","MMR002005","Bawlake"
"35","Kayah","Bawlakhe","AREA # 020251","Ywathit(ST)","MMR002005","Bawlake"
"36","Kayah","Bawlakhe","AREA # 020202","Parsaung","MMR002006","Hpasawng"
"37","Kayah","Bawlakhe","AREA # 020203","Meisi","MMR002007","Mese"
"38","Kayin","Hpa-an","AREA # 030101","Hpa-an","MMR003001","Hpa-An"
"39","Kayin","Hpa-an","AREA # 030151","Paingkyon(ST)","MMR003002","Hlaingbwe"
"40","Kayin","Hpa-an","AREA # 030152","Shan Ywathit(ST)","MMR003002","Hlaingbwe"
"41","Kayin","Hpa-an","AREA # 030102","Hlaingbwe","MMR003002","Hlaingbwe"
"42","Kayin","Pharpon","AREA # 030201","Pharpon","MMR003003","Hpapun"
"43","Kayin","Pharpon","AREA # 030251","Kamamaung(ST}","MMR003003","Hpapun"
"44","Kayin","Hpa-an","AREA # 030154","Bawgali(ST)","MMR003004","Thandaunggyi"
"45","Kayin","Hpa-an","AREA # 030153","Leiktho(ST)","MMR003004","Thandaunggyi"
"46","Kayin","Hpa-an","AREA # 030103","Thandaunggyi","MMR003004","Thandaunggyi"
"47","Kayin","Myawady","AREA # 030301","Myawady","MMR003005","Myawaddy"
"48","Kayin","Myawady","AREA # 030352","Wawlaymyaing(ST)","MMR003005","Myawaddy"
"49","Kayin","Myawady","AREA # 030351","Sugali(ST)","MMR003005","Myawaddy"
"50","Kayin","Kawkareik","AREA # 030401","Kawkareik","MMR003006","Kawkareik"
"51","Kayin","Kawkareik","AREA # 030402","Kyarinseikkyi","MMR003007","Kyainseikgyi"
"52","Kayin","Kawkareik","AREA # 030451","Payarthonezu(ST)","MMR003007","Kyainseikgyi"
"53","Kayin","Kawkareik","AREA # 030452","Kyaidon(ST)","MMR003007","Kyainseikgyi"
"54","Chin","Falam","AREA # 040251","Rihkhuadal(ST)","MMR004001","Falam"
"55","Chin","Falam","AREA # 040201","Falam","MMR004001","Falam"
"56","Chin","Haka","AREA # 040101","HaKa","MMR004002","Hakha"
"57","Chin","Haka","AREA # 040102","Thantlang","MMR004003","Thantlang"
"58","Chin","Falam","AREA # 040202","Tedim","MMR004004","Tedim"
