"","AreaCode","Township","Male","Female","Total"
"1","AREA # 010101","Myitkyina",55,56,111
"2","AREA # 010102","Waingmaw",39,43,82
"3","AREA # 010103","Ingyanyan",1,NA,1
"4","AREA # 010104","Tanaing",11,8,19
"5","AREA # 010105","Chiphwe",5,2,7
"6","AREA # 010106","Hsotlaw",2,NA,2
"7","AREA # 010151","Hsinbo(ST)",8,4,12
"8","AREA # 010152","Hsadone(ST)",3,6,9
"9","AREA # 010153","Kanpaikti(ST)",3,2,5
"10","AREA # 010154","Shinbwayyan(ST)",NA,2,2
"11","AREA # 010155","Panwa(ST)",1,1,2
"12","AREA # 010201","Mohnyin",25,28,53
"13","AREA # 010202","Mogaung",29,16,45
"14","AREA # 010203","Phakant",33,14,47
"15","AREA # 010251","Hopin(ST)",7,9,16
"16","AREA # 010252","Kamine(ST)",2,3,5
"17","AREA # 010301","Bhamo",34,34,68
"18","AREA # 010302","Shwegu",28,18,46
"19","AREA # 010303","Momauk",10,7,17
"20","AREA # 010304","Mansi",11,6,17
"21","AREA # 010351","Myohla(ST)",NA,2,2
"22","AREA # 010352","Lwe`ge`(ST)",NA,2,2
"23","AREA # 010353","Dotphoneyan(ST)",3,1,4
"24","AREA # 010401","Putao",12,16,28
"25","AREA # 010402","Sumprabum",NA,NA,NA
"26","AREA # 010403","Machanbaw",2,5,7
"27","AREA # 010404","Khaunglanphoo",NA,NA,NA
"28","AREA # 010405","Naungmoon",1,1,2
"29","AREA # 010451","Pannandin(ST)",1,NA,1
"30","AREA # 020101","Loikaw",30,28,58
"31","AREA # 020102","Dimawso",21,7,28
"32","AREA # 020103","Phruso",5,2,7
"33","AREA # 020104","Shardaw",1,1,2
"34","AREA # 020201","Bawlakhe",5,4,9
"35","AREA # 020202","Parsaung",3,2,5
"36","AREA # 020203","Meisi",2,1,3
"37","AREA # 020251","Ywathit(ST)",NA,NA,NA
"38","AREA # 030101","Hpa-an",105,97,202
"39","AREA # 030102","Hlaingbwe",52,30,82
"40","AREA # 030103","Thandaunggyi",8,6,14
"41","AREA # 030151","Paingkyon(ST)",32,15,47
"42","AREA # 030152","Shan Ywathit(ST)",9,6,15
"43","AREA # 030153","Leiktho(ST)",37,32,69
"44","AREA # 030154","Bawgali(ST)",6,4,10
"45","AREA # 030201","Pharpon",7,5,12
"46","AREA # 030251","Kamamaung(ST}",14,4,18
"47","AREA # 030301","Myawady",41,21,62
"48","AREA # 030351","Sugali(ST)",1,NA,1
"49","AREA # 030352","Wawlaymyaing(ST)",3,1,4
"50","AREA # 030401","Kawkareik",62,55,117
"51","AREA # 030402","Kyarinseikkyi",33,28,61
"52","AREA # 030451","Payarthonezu(ST)",28,22,50
"53","AREA # 030452","Kyaidon(ST)",17,10,27
"54","AREA # 040101","HaKa",15,9,24
"55","AREA # 040102","Thantlang",13,13,26
"56","AREA # 040201","Falam",26,10,36
"57","AREA # 040202","Tedim",32,26,58
"58","AREA # 040203","Tonzaung",2,10,12
"59","AREA # 040251","Rihkhuadal(ST)",2,NA,2
"60","AREA # 040252","Cikha(ST)",4,1,5
"61","AREA # 040301","Mindat",18,16,34
"62","AREA # 040302","Matupi",34,16,50
"63","AREA # 040303","Kanpalet",12,7,19
"64","AREA # 040304","Paletwat",33,16,49
"65","AREA # 040351","Reazu(ST)",14,18,32
"66","AREA # 040352","Sami(ST)",14,13,27
"67","AREA # 050101","Sagaing",40,36,76
"68","AREA # 050102","Myinmu",16,13,29
"69","AREA # 050103","Myaung",26,10,36
"70","AREA # 050201","Shwebo",40,42,82
"71","AREA # 050202","Khin U",27,20,47
"72","AREA # 050203","Wetlet",29,18,47
"73","AREA # 050204","Kambalu",53,38,91
"74","AREA # 050205","Kyunhlau",13,23,36
"75","AREA # 050206","Ye U",34,19,53
"76","AREA # 050207","Depayin",34,31,65
"77","AREA # 050208","Tasei",41,30,71
