"","State/Region","Severe","Normal"
"1","Ayeyawady",36.724960254372,83.0347846095526
"2","Bago",26.7283135182739,84.9571724124596
"3","Chin",47.0833333333333,86.9509023563717
"4","Kachin",30.0291545189504,83.0255943153234
"5","Kayah",35.036496350365,88.0296805053045
"6","Kayin",32.1576763485477,76.2210229020441
"7","Magway",31.3664596273292,84.6270692627158
"8","Mandalay",25.9454705364996,82.0374448511451
"9","Mon",29.1331546023235,81.0688123083702
"10","Nay Pyi Taw",24.1935483870968,84.3060678382874
"11","Rakhine",39.1187050359712,81.8335163973011
"12","Sagaing",29.8139534883721,84.2777377872026
"13","Shan",22.8964401294498,62.747582371229
"14","Tanintharyi",36.6228070175439,83.2405511931315
"15","Yangon",23.1749710312862,79.0823343770102
