"","AreaCode","Township","SvMale","SvFemale","SvTotal","AttSvMale","AttSvFemale","AttSvTotal","pcAttSvMale","pcAttSvFemale","pcAttSvTotal"
"1","AREA # 010101","Myitkyina",55,56,111,17,9,26,30.9090909090909,16.0714285714286,23.4234234234234
"2","AREA # 010102","Waingmaw",39,43,82,19,18,37,48.7179487179487,41.8604651162791,45.1219512195122
"3","AREA # 010103","Ingyanyan",1,NA,1,NA,NA,NA,NA,NA,NA
"4","AREA # 010104","Tanaing",11,8,19,1,2,3,9.09090909090909,25,15.7894736842105
"5","AREA # 010105","Chiphwe",5,2,7,1,NA,1,20,NA,14.2857142857143
"6","AREA # 010106","Hsotlaw",2,NA,2,1,NA,1,50,NA,50
"7","AREA # 010151","Hsinbo(ST)",8,4,12,1,2,3,12.5,50,25
"8","AREA # 010152","Hsadone(ST)",3,6,9,2,4,6,66.6666666666667,66.6666666666667,66.6666666666667
"9","AREA # 010153","Kanpaikti(ST)",3,2,5,NA,1,1,NA,50,20
"10","AREA # 010154","Shinbwayyan(ST)",NA,2,2,NA,NA,NA,NA,NA,NA
"11","AREA # 010155","Panwa(ST)",1,1,2,NA,NA,NA,NA,NA,NA
"12","AREA # 010201","Mohnyin",25,28,53,11,4,15,44,14.2857142857143,28.3018867924528
"13","AREA # 010202","Mogaung",29,16,45,6,5,11,20.6896551724138,31.25,24.4444444444444
"14","AREA # 010203","Phakant",33,14,47,11,6,17,33.3333333333333,42.8571428571429,36.1702127659574
"15","AREA # 010251","Hopin(ST)",7,9,16,2,3,5,28.5714285714286,33.3333333333333,31.25
"16","AREA # 010252","Kamine(ST)",2,3,5,NA,1,1,NA,33.3333333333333,20
"17","AREA # 010301","Bhamo",34,34,68,9,11,20,26.4705882352941,32.3529411764706,29.4117647058824
"18","AREA # 010302","Shwegu",28,18,46,9,6,15,32.1428571428571,33.3333333333333,32.6086956521739
"19","AREA # 010303","Momauk",10,7,17,3,1,4,30,14.2857142857143,23.5294117647059
"20","AREA # 010304","Mansi",11,6,17,2,3,5,18.1818181818182,50,29.4117647058824
"21","AREA # 010351","Myohla(ST)",NA,2,2,NA,1,1,NA,50,50
"22","AREA # 010352","Lwe`ge`(ST)",NA,2,2,NA,NA,NA,NA,NA,NA
"23","AREA # 010353","Dotphoneyan(ST)",3,1,4,2,NA,2,66.6666666666667,NA,50
"24","AREA # 010401","Putao",12,16,28,5,10,15,41.6666666666667,62.5,53.5714285714286
"25","AREA # 010402","Sumprabum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","AREA # 010403","Machanbaw",2,5,7,1,2,3,50,40,42.8571428571429
"27","AREA # 010404","Khaunglanphoo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","AREA # 010405","Naungmoon",1,1,2,NA,NA,NA,NA,NA,NA
"29","AREA # 010451","Pannandin(ST)",1,NA,1,NA,NA,NA,NA,NA,NA
"30","AREA # 020101","Loikaw",30,28,58,7,8,15,23.3333333333333,28.5714285714286,25.8620689655172
"31","AREA # 020102","Dimawso",21,7,28,7,1,8,33.3333333333333,14.2857142857143,28.5714285714286
"32","AREA # 020103","Phruso",5,2,7,2,1,3,40,50,42.8571428571429
"33","AREA # 020104","Shardaw",1,1,2,NA,NA,NA,NA,NA,NA
"34","AREA # 020201","Bawlakhe",5,4,9,2,1,3,40,25,33.3333333333333
"35","AREA # 020202","Parsaung",3,2,5,2,NA,2,66.6666666666667,NA,40
"36","AREA # 020203","Meisi",2,1,3,NA,NA,NA,NA,NA,NA
"37","AREA # 020251","Ywathit(ST)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","AREA # 030101","Hpa-an",105,97,202,26,28,54,24.7619047619048,28.8659793814433,26.7326732673267
"39","AREA # 030102","Hlaingbwe",52,30,82,6,5,11,11.5384615384615,16.6666666666667,13.4146341463415
"40","AREA # 030103","Thandaunggyi",8,6,14,5,3,8,62.5,50,57.1428571428571
"41","AREA # 030151","Paingkyon(ST)",32,15,47,10,4,14,31.25,26.6666666666667,29.7872340425532
"42","AREA # 030152","Shan Ywathit(ST)",9,6,15,2,1,3,22.2222222222222,16.6666666666667,20
"43","AREA # 030153","Leiktho(ST)",37,32,69,22,17,39,59.4594594594595,53.125,56.5217391304348
"44","AREA # 030154","Bawgali(ST)",6,4,10,1,NA,1,16.6666666666667,NA,10
"45","AREA # 030201","Pharpon",7,5,12,3,1,4,42.8571428571429,20,33.3333333333333
"46","AREA # 030251","Kamamaung(ST}",14,4,18,2,NA,2,14.2857142857143,NA,11.1111111111111
"47","AREA # 030301","Myawady",41,21,62,9,4,13,21.9512195121951,19.047619047619,20.9677419354839
"48","AREA # 030351","Sugali(ST)",1,NA,1,NA,NA,NA,NA,NA,NA
"49","AREA # 030352","Wawlaymyaing(ST)",3,1,4,NA,NA,NA,NA,NA,NA
"50","AREA # 030401","Kawkareik",62,55,117,11,20,31,17.741935483871,36.3636363636364,26.4957264957265
"51","AREA # 030402","Kyarinseikkyi",33,28,61,5,5,10,15.1515151515152,17.8571428571429,16.3934426229508
"52","AREA # 030451","Payarthonezu(ST)",28,22,50,9,3,12,32.1428571428571,13.6363636363636,24
"53","AREA # 030452","Kyaidon(ST)",17,10,27,NA,4,4,NA,40,14.8148148148148
"54","AREA # 040101","HaKa",15,9,24,4,4,8,26.6666666666667,44.4444444444444,33.3333333333333
"55","AREA # 040102","Thantlang",13,13,26,3,5,8,23.0769230769231,38.4615384615385,30.7692307692308
"56","AREA # 040201","Falam",26,10,36,11,8,19,42.3076923076923,80,52.7777777777778
"57","AREA # 040202","Tedim",32,26,58,14,8,22,43.75,30.7692307692308,37.9310344827586
"58","AREA # 040203","Tonzaung",2,10,12,1,3,4,50,30,33.3333333333333
"59","AREA # 040251","Rihkhuadal(ST)",2,NA,2,1,NA,1,50,NA,50
"60","AREA # 040252","Cikha(ST)",4,1,5,2,1,3,50,100,60
"61","AREA # 040301","Mindat",18,16,34,7,7,14,38.8888888888889,43.75,41.1764705882353
"62","AREA # 040302","Matupi",34,16,50,23,14,37,67.6470588235294,87.5,74
"63","AREA # 040303","Kanpalet",12,7,19,7,2,9,58.3333333333333,28.5714285714286,47.3684210526316
"64","AREA # 040304","Paletwat",33,16,49,13,7,20,39.3939393939394,43.75,40.8163265306122
"65","AREA # 040351","Reazu(ST)",14,18,32,11,13,24,78.5714285714286,72.2222222222222,75
"66","AREA # 040352","Sami(ST)",14,13,27,4,3,7,28.5714285714286,23.0769230769231,25.9259259259259
"67","AREA # 050101","Sagaing",40,36,76,2,8,10,5,22.2222222222222,13.1578947368421
"68","AREA # 050102","Myinmu",16,13,29,4,1,5,25,7.69230769230769,17.2413793103448
"69","AREA # 050103","Myaung",26,10,36,6,1,7,23.0769230769231,10,19.4444444444444
"70","AREA # 050201","Shwebo",40,42,82,6,7,13,15,16.6666666666667,15.8536585365854
"71","AREA # 050202","Khin U",27,20,47,4,4,8,14.8148148148148,20,17.0212765957447
"72","AREA # 050203","Wetlet",29,18,47,1,1,2,3.44827586206897,5.55555555555556,4.25531914893617
"73","AREA # 050204","Kambalu",53,38,91,11,7,18,20.7547169811321,18.4210526315789,19.7802197802198
"74","AREA # 050205","Kyunhlau",13,23,36,4,4,8,30.7692307692308,17.3913043478261,22.2222222222222
"75","AREA # 050206","Ye U",34,19,53,7,2,9,20.5882352941176,10.5263157894737,16.9811320754717
"76","AREA # 050207","Depayin",34,31,65,8,5,13,23.5294117647059,16.1290322580645,20
"77","AREA # 050208","Tasei",41,30,71,9,3,12,21.9512195121951,10,16.9014084507042
"78","AREA # 050251","Kyaukmyaung(ST)",3,5,8,1,1,2,33.3333333333333,20,25
"79","AREA # 050301","Monywa",55,51,106,8,8,16,14.5454545454545,15.6862745098039,15.0943396226415
"80","AREA # 050302","Butalin",26,26,52,6,7,13,23.0769230769231,26.9230769230769,25
