"","AreaCode","Township","NmMale","NmFemale","NmTotal","AttNmMale","AttNmFemale","AttNmTotal","pcAttNmMale","pcAttNmFemale","pcAttNmTotal"
"1","AREA # 010101","Myitkyina",13569,13474,27043,10242,10523,20765,75.480875525094,78.0985601899956,76.7851199940835
"2","AREA # 010102","Waingmaw",4965,4931,9896,3968,4246,8214,79.9194360523666,86.1082944635976,83.0032336297494
"3","AREA # 010103","Ingyanyan",85,67,152,66,52,118,77.6470588235294,77.6119402985075,77.6315789473684
"4","AREA # 010104","Tanaing",2000,1832,3832,1400,1384,2784,70,75.5458515283843,72.651356993737
"5","AREA # 010105","Chiphwe",637,595,1232,434,393,827,68.1318681318681,66.0504201680672,67.1266233766234
"6","AREA # 010106","Hsotlaw",349,353,702,275,256,531,78.7965616045845,72.5212464589235,75.6410256410256
"7","AREA # 010151","Hsinbo(ST)",514,495,1009,368,385,753,71.5953307392996,77.7777777777778,74.6283448959366
"8","AREA # 010152","Hsadone(ST)",555,525,1080,453,436,889,81.6216216216216,83.0476190476191,82.3148148148148
"9","AREA # 010153","Kanpaikti(ST)",408,307,715,333,244,577,81.6176470588235,79.4788273615635,80.6993006993007
"10","AREA # 010154","Shinbwayyan(ST)",419,362,781,320,312,632,76.3723150357995,86.1878453038674,80.9218950064021
"11","AREA # 010155","Panwa(ST)",481,442,923,319,216,535,66.3201663201663,48.868778280543,57.9631635969664
"12","AREA # 010201","Mohnyin",7683,7301,14984,5657,6227,11884,73.6300924118183,85.2896863443364,79.3112653497064
"13","AREA # 010202","Mogaung",6313,6291,12604,4825,5470,10295,76.4295897354665,86.9496105547608,81.6804189146303
"14","AREA # 010203","Phakant",8381,7664,16045,4696,4715,9411,56.0314998210237,61.5213987473904,58.6537862262387
"15","AREA # 010251","Hopin(ST)",2393,2375,4768,1788,1974,3762,74.7179272879231,83.1157894736842,78.9010067114094
"16","AREA # 010252","Kamine(ST)",895,934,1829,656,724,1380,73.2960893854749,77.5160599571735,75.4510661563696
"17","AREA # 010301","Bhamo",6013,5811,11824,4032,4281,8313,67.0547147846333,73.6706246773361,70.3061569688769
"18","AREA # 010302","Shwegu",4325,4086,8411,3048,3163,6211,70.4739884393064,77.4106705824768,73.8437760076091
"19","AREA # 010303","Momauk",1931,1842,3773,1619,1639,3258,83.8425686172967,88.9793702497286,86.350384309568
"20","AREA # 010304","Mansi",2340,2301,4641,1701,1757,3458,72.6923076923077,76.3581051716645,74.5098039215686
"21","AREA # 010351","Myohla(ST)",202,200,402,168,166,334,83.1683168316832,83,83.0845771144279
"22","AREA # 010352","Lwe`ge`(ST)",420,422,842,209,242,451,49.7619047619048,57.345971563981,53.562945368171
"23","AREA # 010353","Dotphoneyan(ST)",541,487,1028,408,378,786,75.4158964879852,77.6180698151951,76.4591439688716
"24","AREA # 010401","Putao",2878,2977,5855,2522,2694,5216,87.630298818624,90.4937856902922,89.0862510674637
"25","AREA # 010402","Sumprabum",108,123,231,95,114,209,87.962962962963,92.6829268292683,90.4761904761905
"26","AREA # 010403","Machanbaw",386,403,789,343,377,720,88.860103626943,93.5483870967742,91.254752851711
"27","AREA # 010404","Khaunglanphoo",590,635,1225,565,609,1174,95.7627118644068,95.9055118110236,95.8367346938775
"28","AREA # 010405","Naungmoon",257,226,483,242,215,457,94.1634241245136,95.1327433628319,94.6169772256729
"29","AREA # 010451","Pannandin(ST)",67,82,149,62,69,131,92.5373134328358,84.1463414634146,87.9194630872483
"30","AREA # 020101","Loikaw",5652,5479,11131,4182,4387,8569,73.9915074309979,80.069355721847,76.9832000718714
"31","AREA # 020102","Dimawso",3853,3666,7519,3113,3057,6170,80.7941863483,83.3878887070376,82.0587844128209
"32","AREA # 020103","Phruso",1420,1395,2815,938,994,1932,66.056338028169,71.2544802867384,68.6323268206039
"33","AREA # 020104","Shardaw",332,314,646,188,191,379,56.6265060240964,60.828025477707,58.6687306501548
"34","AREA # 020201","Bawlakhe",324,334,658,203,254,457,62.6543209876543,76.0479041916168,69.4528875379939
"35","AREA # 020202","Parsaung",1034,984,2018,759,763,1522,73.4042553191489,77.5406504065041,75.4212091179386
"36","AREA # 020203","Meisi",260,267,527,197,194,391,75.7692307692308,72.6591760299626,74.1935483870968
"37","AREA # 020251","Ywathit(ST)",109,104,213,49,76,125,44.954128440367,73.0769230769231,58.6854460093897
"38","AREA # 030101","Hpa-an",21032,19955,40987,14034,14930,28964,66.7268923545074,74.8183412678527,70.6663088296289
"39","AREA # 030102","Hlaingbwe",8239,7975,16214,4638,5726,10364,56.2932394708096,71.7993730407524,63.9200690761071
"40","AREA # 030103","Thandaunggyi",1319,1346,2665,1082,1140,2222,82.0318423047763,84.6953937592868,83.3771106941839
"41","AREA # 030151","Paingkyon(ST)",4306,4309,8615,2027,2658,4685,47.0738504412448,61.6848456718496,54.3818920487522
"42","AREA # 030152","Shan Ywathit(ST)",1046,1044,2090,293,423,716,28.0114722753346,40.5172413793103,34.2583732057416
"43","AREA # 030153","Leiktho(ST)",2147,2078,4225,1602,1619,3221,74.6157428970657,77.9114533205005,76.2366863905325
"44","AREA # 030154","Bawgali(ST)",783,815,1598,459,518,977,58.6206896551724,63.558282208589,61.1389236545682
"45","AREA # 030201","Pharpon",704,657,1361,525,538,1063,74.5738636363636,81.8873668188737,78.104335047759
"46","AREA # 030251","Kamamaung(ST}",1065,1023,2088,664,713,1377,62.3474178403756,69.6969696969697,65.948275862069
"47","AREA # 030301","Myawady",8453,7855,16308,5271,5272,10543,62.356559801254,67.1164863144494,64.6492519009075
"48","AREA # 030351","Sugali(ST)",224,261,485,133,169,302,59.375,64.7509578544061,62.2680412371134
"49","AREA # 030352","Wawlaymyaing(ST)",444,425,869,246,288,534,55.4054054054054,67.7647058823529,61.4499424626007
"50","AREA # 030401","Kawkareik",10510,10392,20902,6592,7696,14288,62.721217887726,74.0569668976135,68.3570950148311
"51","AREA # 030402","Kyarinseikkyi",4874,4921,9795,2745,3407,6152,56.3192449733279,69.233895549685,62.8075548749362
"52","AREA # 030451","Payarthonezu(ST)",4128,4191,8319,2400,2859,5259,58.1395348837209,68.2176091624911,63.2167327803823
"53","AREA # 030452","Kyaidon(ST)",2774,2701,5475,1442,1663,3105,51.9826964671954,61.5697889670492,56.7123287671233
"54","AREA # 040101","HaKa",2179,2170,4349,1888,1942,3830,86.6452501147315,89.4930875576037,88.0662221200276
"55","AREA # 040102","Thantlang",2445,2439,4884,2177,2221,4398,89.038854805726,91.0619106191062,90.04914004914
"56","AREA # 040201","Falam",1997,1962,3959,1736,1765,3501,86.9303955933901,89.9592252803262,88.4314220762819
"57","AREA # 040202","Tedim",4468,4434,8902,3789,3760,7549,84.8030438675022,84.7992783040144,84.8011682767917
"58","AREA # 040203","Tonzaung",1026,1113,2139,852,909,1761,83.0409356725146,81.6711590296496,82.328190743338
"59","AREA # 040251","Rihkhuadal(ST)",306,326,632,278,301,579,90.8496732026144,92.3312883435583,91.6139240506329
"60","AREA # 040252","Cikha(ST)",541,527,1068,465,421,886,85.9519408502773,79.8861480075901,82.9588014981273
"61","AREA # 040301","Mindat",1927,2101,4028,1754,1864,3618,91.0223144784639,88.7196573060447,89.8212512413108
"62","AREA # 040302","Matupi",1866,1885,3751,1769,1789,3558,94.8017148981779,94.9071618037135,94.8547054118902
"63","AREA # 040303","Kanpalet",1034,938,1972,903,881,1784,87.330754352031,93.9232409381663,90.4665314401623
"64","AREA # 040304","Paletwat",3110,3061,6171,2759,2502,5261,88.7138263665595,81.7379941195688,85.2536055744612
"65","AREA # 040351","Reazu(ST)",564,651,1215,475,541,1016,84.2198581560284,83.1029185867896,83.6213991769547
"66","AREA # 040352","Sami(ST)",1570,1588,3158,1405,1374,2779,89.4904458598726,86.5239294710327,87.9987333755542
"67","AREA # 050101","Sagaing",11667,11065,22732,5880,6329,12209,50.3985600411417,57.1983732489833,53.7084286468415
"68","AREA # 050102","Myinmu",3532,3478,7010,2211,2398,4609,62.599093997735,68.9476710753306,65.7489300998573
"69","AREA # 050103","Myaung",3502,3720,7222,2301,2558,4859,65.7053112507139,68.7634408602151,67.280531708668
"70","AREA # 050201","Shwebo",8433,8260,16693,5003,5113,10116,59.3264555911301,61.9007263922518,60.6002516024681
"71","AREA # 050202","Khin U",5498,5683,11181,3749,4070,7819,68.1884321571481,71.6171036424424,69.9311331723459
"72","AREA # 050203","Wetlet",6751,6889,13640,4508,4752,9260,66.775292549252,68.9795325881841,67.8885630498534
"73","AREA # 050204","Kambalu",12656,12968,25624,8230,8757,16987,65.0284450063211,67.5277606415793,66.2933187636591
"74","AREA # 050205","Kyunhlau",4138,4127,8265,3146,3145,6291,76.0270662155631,76.2054761327841,76.1161524500907
"75","AREA # 050206","Ye U",4857,5055,9912,3183,3440,6623,65.5342804200124,68.0514342235411,66.817998385795
"76","AREA # 050207","Depayin",5739,5776,11515,4107,4319,8426,71.5629900679561,74.7749307479224,73.1741207121146
"77","AREA # 050208","Tasei",6974,7317,14291,5435,5945,11380,77.9323200458847,81.2491458247916,79.6305367014205
"78","AREA # 050251","Kyaukmyaung(ST)",1170,1241,2411,761,814,1575,65.042735042735,65.5922643029815,65.3255910410618
