"","Area code","Township","NmMale","NmFemale","NmTotal","AttNmMale","AttNmFemale","AttNmTotal","pcAttNmMale","pcAttNmFemale","pcAttNmTotal"
"1","AREA # 010101","Myitkyina",15267,14965,30232,12438,12455,24893,81.4698369031244,83.227530905446,82.3399047367028
"2","AREA # 010102","Waingmaw",6233,6073,12306,5463,5361,10824,87.6463982031125,88.275975629837,87.9570941004388
"3","AREA # 010103","Ingyanyan",107,101,208,69,73,142,64.4859813084112,72.2772277227723,68.2692307692308
"4","AREA # 010104","Tanaing",2707,2514,5221,2031,1963,3994,75.0277059475434,78.0827366746221,76.4987550277725
"5","AREA # 010105","Chiphwe",798,802,1600,529,513,1042,66.2907268170426,63.9650872817955,65.125
"6","AREA # 010106","Hsotlaw",480,468,948,338,315,653,70.4166666666667,67.3076923076923,68.8818565400844
"7","AREA # 010151","Hsinbo(ST)",620,603,1223,498,497,995,80.3225806451613,82.4212271973466,81.3573180703189
"8","AREA # 010152","Hsadone(ST)",724,738,1462,600,613,1213,82.8729281767956,83.0623306233062,82.96853625171
"9","AREA # 010153","Kanpaikti(ST)",460,486,946,361,389,750,78.4782608695652,80.0411522633745,79.2811839323467
"10","AREA # 010154","Shinbwayyan(ST)",641,625,1266,543,542,1085,84.7113884555382,86.72,85.7030015797788
"11","AREA # 010155","Panwa(ST)",597,655,1252,302,299,601,50.5862646566164,45.6488549618321,48.0031948881789
"12","AREA # 010201","Mohnyin",8889,8645,17534,8025,7898,15923,90.2801214984813,91.3591671486408,90.8121364206684
"13","AREA # 010202","Mogaung",7639,7393,15032,6857,6872,13729,89.7630579918838,92.9527931827404,91.3318254390633
"14","AREA # 010203","Phakant",10049,9440,19489,6548,6286,12834,65.1607125087073,66.5889830508475,65.8525321976499
"15","AREA # 010251","Hopin(ST)",2736,2583,5319,2391,2338,4729,87.390350877193,90.5149051490515,88.9076894153036
"16","AREA # 010252","Kamine(ST)",1216,1244,2460,953,990,1943,78.3717105263158,79.5819935691318,78.9837398373984
"17","AREA # 010301","Bhamo",7008,6936,13944,5666,5695,11361,80.8504566210046,82.1078431372549,81.4759036144578
"18","AREA # 010302","Shwegu",5028,4825,9853,4272,4174,8446,84.964200477327,86.5077720207254,85.7200852532224
"19","AREA # 010303","Momauk",2465,2431,4896,2261,2278,4539,91.7241379310345,93.7062937062937,92.7083333333333
"20","AREA # 010304","Mansi",3097,3042,6139,2556,2505,5061,82.5314820794317,82.3471400394477,82.4401368301026
"21","AREA # 010351","Myohla(ST)",242,214,456,218,198,416,90.0826446280992,92.5233644859813,91.2280701754386
"22","AREA # 010352","Lwe`ge`(ST)",539,511,1050,310,302,612,57.5139146567718,59.0998043052838,58.2857142857143
"23","AREA # 010353","Dotphoneyan(ST)",643,564,1207,532,476,1008,82.7371695178849,84.3971631205674,83.5128417564209
"24","AREA # 010401","Putao",3889,3859,7748,3572,3570,7142,91.8488043198766,92.511013215859,92.1786267423851
"25","AREA # 010402","Sumprabum",169,171,340,158,156,314,93.491124260355,91.2280701754386,92.3529411764706
"26","AREA # 010403","Machanbaw",588,562,1150,544,526,1070,92.5170068027211,93.5943060498221,93.0434782608696
"27","AREA # 010404","Khaunglanphoo",772,778,1550,727,720,1447,94.1709844559585,92.5449871465296,93.3548387096774
"28","AREA # 010405","Naungmoon",359,354,713,346,342,688,96.3788300835655,96.6101694915254,96.4936886395512
"29","AREA # 010451","Pannandin(ST)",118,117,235,96,89,185,81.3559322033898,76.0683760683761,78.7234042553192
"30","AREA # 020101","Loikaw",6685,6620,13305,5829,5910,11739,87.1952131637996,89.2749244712991,88.2299887260428
"31","AREA # 020102","Dimawso",5141,5101,10242,4710,4701,9411,91.6164170394865,92.158400313664,91.8863503222027
"32","AREA # 020103","Phruso",1857,1875,3732,1547,1535,3082,83.306408185245,81.8666666666667,82.583065380493
"33","AREA # 020104","Shardaw",430,449,879,361,382,743,83.953488372093,85.0779510022272,84.5278725824801
