"","Area code","Township","SevMale","SevFemale","SevTotal","AttSvMale","AttSvFemale","AttSvTotal","pcAttSvMale","pcAttSvFemale","pcAttSvTotal"
"1","AREA # 010101","Myitkyina",73,53,126,16,9,25,21.9178082191781,16.9811320754717,19.8412698412698
"2","AREA # 010102","Waingmaw",44,34,78,16,19,35,36.3636363636364,55.8823529411765,44.8717948717949
"3","AREA # 010103","Ingyanyan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","AREA # 010104","Tanaing",11,13,24,4,3,7,36.3636363636364,23.0769230769231,29.1666666666667
"5","AREA # 010105","Chiphwe",6,5,11,2,NA,2,33.3333333333333,NA,18.1818181818182
"6","AREA # 010106","Hsotlaw",7,NA,7,1,NA,1,14.2857142857143,NA,14.2857142857143
"7","AREA # 010151","Hsinbo(ST)",4,3,7,NA,NA,NA,NA,NA,NA
"8","AREA # 010152","Hsadone(ST)",3,2,5,1,1,2,33.3333333333333,50,40
"9","AREA # 010153","Kanpaikti(ST)",3,2,5,NA,1,1,NA,50,20
"10","AREA # 010154","Shinbwayyan(ST)",2,NA,2,1,NA,1,50,NA,50
"11","AREA # 010155","Panwa(ST)",NA,2,2,NA,NA,NA,NA,NA,NA
"12","AREA # 010201","Mohnyin",23,25,48,5,5,10,21.7391304347826,20,20.8333333333333
"13","AREA # 010202","Mogaung",23,15,38,6,8,14,26.0869565217391,53.3333333333333,36.8421052631579
"14","AREA # 010203","Phakant",31,35,66,10,8,18,32.258064516129,22.8571428571429,27.2727272727273
"15","AREA # 010251","Hopin(ST)",11,6,17,1,5,6,9.09090909090909,83.3333333333333,35.2941176470588
"16","AREA # 010252","Kamine(ST)",1,4,5,NA,NA,NA,NA,NA,NA
"17","AREA # 010301","Bhamo",44,32,76,13,10,23,29.5454545454545,31.25,30.2631578947368
"18","AREA # 010302","Shwegu",27,17,44,10,3,13,37.037037037037,17.6470588235294,29.5454545454545
"19","AREA # 010303","Momauk",8,9,17,2,NA,2,25,NA,11.7647058823529
