"","SR","TsAvgNmPri","TsAvgSvPri"
"1","Ayeyawady",82.681201592773,35.0241803506287
"2","Bago",84.5427578968393,27.8080761284444
"3","Chin",87.2034703303353,NA
"4","Kachin",81.510036628952,NA
"5","Kayah",85.6818403156748,NA
"6","Kayin",71.6568729502372,32.2157166506344
"7","Magway",84.7115128094621,31.2915653680433
"8","Mandalay",81.9619798966183,25.5719343723976
"9","Mon",81.2093487498148,27.6769686217359
"10","Nay Pyi Taw",80.8146181355693,20.975455055369
"11","Rakhine",80.2440754587743,38.1336562657731
"12","Sagaing",83.3887893143587,NA
"13","Shan",58.1254131916024,NA
"14","Tanintharyi",81.0896412028749,35.0234199370303
"15","Yangon",77.9046946865523,NA
